timestamp,open,high,low,close,volume
2026-02-06 00:00:00,0.0968,0.0968,0.0968,0.0968,4200
2026-02-09 00:00:00,0.085,0.085,0.085,0.085,1065
2026-02-11 00:00:00,0.118,0.118,0.099,0.099,2000
2026-02-12 00:00:00,0.0868,0.0868,0.0868,0.0868,1000
2026-02-18 00:00:00,0.0958,0.0961,0.0957,0.0957,10320
2026-02-19 00:00:00,0.09136,0.09136,0.09136,0.09136,365
2026-02-20 00:00:00,0.1024,0.1024,0.1024,0.1024,239
2026-02-23 00:00:00,0.0907,0.0907,0.0907,0.0907,4200
2026-02-24 00:00:00,0.085,0.085,0.05435,0.0846,45000
2026-02-25 00:00:00,0.0846,0.0846,0.0846,0.0846,300
2026-02-26 00:00:00,0.0825,0.0907,0.0825,0.0907,19000
2026-02-27 00:00:00,0.08459,0.08459,0.08459,0.08459,7833
2026-03-02 00:00:00,0.09548,0.09548,0.0675,0.0675,1110
2026-03-03 00:00:00,0.0861,0.1044,0.0788,0.1044,19211
2026-03-04 00:00:00,0.09248,0.09248,0.0918,0.0918,1050
2026-03-10 00:00:00,0.08485,0.10516,0.07,0.07,51600
2026-03-12 00:00:00,0.099975,0.1,0.099975,0.1,15000
2026-03-13 00:00:00,0.0981,0.0981,0.0981,0.0981,2000
2026-03-16 00:00:00,0.09392,0.09392,0.09392,0.09392,1000
2026-03-17 00:00:00,0.0791,0.09955,0.0791,0.09955,1980
2026-03-18 00:00:00,0.10364,0.104,0.10364,0.104,1300
2026-02-06 00:00:00,0.0968,0.0968,0.0968,0.0968,4200
2026-02-09 00:00:00,0.085,0.085,0.085,0.085,1065
2026-02-11 00:00:00,0.118,0.118,0.099,0.099,2000
2026-02-12 00:00:00,0.0868,0.0868,0.0868,0.0868,1000
2026-02-18 00:00:00,0.0958,0.0961,0.0957,0.0957,10320
2026-02-19 00:00:00,0.09136,0.09136,0.09136,0.09136,365
2026-02-20 00:00:00,0.1024,0.1024,0.1024,0.1024,239
2026-02-23 00:00:00,0.0907,0.0907,0.0907,0.0907,4200
2026-02-24 00:00:00,0.085,0.085,0.05435,0.0846,45000
2026-02-25 00:00:00,0.0846,0.0846,0.0846,0.0846,300
2026-02-26 00:00:00,0.0825,0.0907,0.0825,0.0907,19000
2026-02-27 00:00:00,0.08459,0.08459,0.08459,0.08459,7833
2026-03-02 00:00:00,0.09548,0.09548,0.0675,0.0675,1110
2026-03-03 00:00:00,0.0861,0.1044,0.0788,0.1044,19211
2026-03-04 00:00:00,0.09248,0.09248,0.0918,0.0918,1050
2026-03-10 00:00:00,0.08485,0.10516,0.07,0.07,51600
2026-03-12 00:00:00,0.099975,0.1,0.099975,0.1,15000
2026-03-13 00:00:00,0.0981,0.0981,0.0981,0.0981,2000
2026-03-16 00:00:00,0.09392,0.09392,0.09392,0.09392,1000
2026-03-17 00:00:00,0.0791,0.09955,0.0791,0.09955,1980
2026-03-18 00:00:00,0.10364,0.104,0.10364,0.104,1300
